"UPC","Item","Size","QTY","Best Case Price"
"00000008256607","AMERICAN ANTHEM VODKA 10/12PKS, 50ML [216128]","50ML","10",0
"00000008257606","CIROC VS, LTR [243503]","LTR","12",0
"00000008262802","BULLEIT RYE, 200 [215287]","200","48",0
"00000008776509","SEAGRAMS SEVEN CROWN 12/CS, 375 [204836]","375","12",0
"0000008260901","CIROC BLACK RASPBERRY 4/15PK, 50ML [243208]","50ML","4",0
"0008000772699","SMIRNOFF KISSED CAR TW RD 12/C, 375 [249146]","375","12",0
"0008156650002","KETEL BOT PEACH & ORANGE BL, 50ML [229088]","50ML","10",0
"0008156810000","KETEL BOT CUCUMBER MINT, LTR [229093]","LTR","12",0
"00081753809591","CLICQUOT VINT *08 6/CS, 750 [228174]","750","6",382
"00081753810924","MOET BRUT GR VN ROSE 09/12 6/C, 750 [263095]","750","6",360
"00081753811020","DOM PERIGNON 08 6/CS, 750 [263180]","750","6",893
"00081753811020","ONP DOM PERIGNON 06 6/CS, 750 [263434]","750","6",648
"00081753811075","DOM PERIGNON 2008, 1.5 [263162]","1.5","3",1287
"00081753815554","HENNESSY BLACK HOLIDAY GB 2019, 750 [261194]","750","12",376.75
"00081753820084","MOET IMPERIAL GOLDEN 6/CS, 750 [263126]","750","6",249.56
"00081753821913","CLICQUOT LGD GIFT 6/CS 750, 750 [228044]","750","6",714
"00081753822422","DOM PERIGNON 08 GIFT 6/CS, 750 [263181]","750","6",893
"00081753822439","DOM PERIGNON ROSE 05 3/CS, 750 [263185]","750","3",780
"00081753824747","ONP MOET NEC IMP ROS LUMI 6/CS, 750 [263144]","750","6",310
"00081753825737","GLENMORANGIE TUSAIL 6/CS, 750 [220654]","750","6",442
"00081753826512","GLENMORANGIE 10YR PIONEER W/50, 750 [220634]","750","6",197
"00081753826673","CLICQUOT Y/L SHOPPING BAG 6/CS, 750 [228014]","750","6",280.5
"00081753826741","HENNESSY VS 2019 EOY GB, 750 [261175]","750","12",0
"00081753826857","CLICQUOT VINT ROSE 2008 6/CS, 750 [228244]","750","6",0
"00081753827618","CLICQUOT ROSE MESSAGE VAP 6/C, 750 [228184]","750","6",295
"00081753829575","BELVEDERE UF SMOOGORY 6/CS, LTR [214113]","LTR","6",0
"00081753830007","BELVEDERE UF BARTEZEK 6/CS 750, 750 [214154]","750","6",23.75
"00081753830045","CLICQUOT Y/L ICE JAC W/H, 750 [228124]","750","12",543
"00081753830724","HENNESSY XO GB 12/CS, 375 [261256]","375","12",0
"00081753830830","BELVEDERE PURE GB 6/CS, 750 [214135]","750","6",0
"00081753838796","BELVEDERE PURE 750 JAR VAP, 750 [214125]","750","6",23.75
"00082000003762","GODIVA DARK CHOC LIQ 12/CS, 375 [204556]","375","12",108
"00082000004585","CROWN ROYAL REGAL APPLE 10/6PK, 50ML [204898]","50ML","10",159.54
"00082000726807","SMIRNOFF APPLE TW 12/10PK, 50ML [249628]","50ML","12",127
"00082000726852","SMIRNOFF CITRUS TW 12/10PK, 50ML [249238]","50ML","12",127
"00082000748618","LAGAVULIN DE 43 6/CS, 750 [221255]","750","6",494
"00082000757658","CAPT MORGAN SPICED RUM 48/CS, 100 [204609]","100","48",129.95
"00082000760467","CAPT MORGAN SILVER SPICED RUM, 750 [204614]","750","12",134.29
"00082000765356","CROWN ROYAL 44/CS, 200 [204867]","200","44",351.69
"00082000767183","MORTLACH 25YO 3/CS, 750 [221474]","750","3",2324.97
"00082000771548","CROWN ROYAL REGAL APPLE 44/CS, 200 [204897]","200","44",351.69
"00082000786467","GEORGE DICKEL TABASCO B 12/10P, 50ML [279608]","50ML","12",0
"00082000786474","GEORGE DICKEL TABASCO BARREL, 750 [279604]","750","12",0
"00082000786641","SMIRNOFF PEACH FL 12/CS, 375 [249826]","375","12",0
"00085155273400","CHANDON ROSE AMERICAN SUM 18, 750 [263254]","750","12",204
"00085155273486","CHANDON ROSE AMERICAN SUMMER, 187 [263526]","187","24",0
"00085155273615","CHANDON SWEET STAR ALUM 24/CS, 187 [263817]","187","24",0
"00085156750009","KETEL BOT GRAPEFRUIT & ROSE, 50ML [229078]","50ML","10",0
"00085156850006","KETEL BOT CUCUMBER MINT 10/12P, 50ML [229098]","50ML","10",0
"00086767520104","RUMPLE MINZE 48/CS, 200 [204267]","200","48",330.58
"00086767704498","BAILEYS SALTED CARAMEL, 750 [204094]","750","12",274.5
"00086767705013","BAILEYS RED VELVET, 750 [214044]","750","12",0
"00087000004122","BULLEIT BOURBON 12/CS, 375 [215216]","375","12",177.75
"00087000005525","BULLEIT BOURBON, 750 [215204]","750","12",361.75
"0008700000554","BULLEIT BOURBON, LTR [215203]","LTR","12",430.15
"00088076152267","BUCHANAN'S 18YR 6/CS, 750 [243054]","750","6",445.33
"00088076161658","MOET BR IMP ROSE NV 6C 236155, 750 [236164]","750","6",268
"0008807617145","GLENKINCHIE 12YR SCOTCH, 750 [221394]","750","12",527.25
"00088076176424","J WALKER GOLD LABEL RES 6/CS, 750 [220004]","750","6",337.82
"00088076179998","J WALKER GREEN 6/CS, 750 [220194]","750","6",290.94
"00088076180314","THE CALLY 40YO D1974, 750 [221634]","750","6",5539
"00088076180635","LAGAVULIN 8YO 6/CS, 750 [221614]","750","6",0
"00088076180635","LAGAVULIN 8YO, 750 [221694]","750","12",0
"00088076181083","LAGAVULIN 25YO 6/CS, 750 [221664]","750","6",0
"00088076183650","ROE & COE IRISH WHISKEY 6/SC, 750 [219004]","750","6",0
"00088076184114","GOT J WALKER SONG OF FIRE, 750 [261474]","750","12",0
"00088076184121","GOT J WALKER SONG OF ICE, 750 [261464]","750","12",0
"0008811001130","J WALKER BLACK SQ 24/CS, 200 [220157]","200","24",257
"00088110021139","J WALKER RED SQ 24/CS, 200 [200007]","200","24",159.5
"00088110551056","MOET IMPERIAL EOY 2018 GB 6/CS, 750 [263101]","750","6",249.56
"00088110552404","MOET BR IMP ROSE LOVE GIFT 6/C, 750 [263155]","750","6",268
"00088110955304","BUCHANAN'S 12YO, LTR [243043]","LTR","12",518
"0082000750710�","SMIRNOFF PEACH, 750 [249814]","750","12",134.35
"0082000786665","SMIRNOFF CITRUS TW FL 12/CS, 375 [249236]","375","12",0
"0085156875009","KETEL BOT CUCUMBER MINT, 750 [229094]","750","12",0
"0087000007246�","CROWN ROYAL BAR PK, LTR [204801]","LTR","12",405.75
"0087000007246�","CROWN ROYAL, LTR [204803]","LTR","12",405.75
"0087000201781�","CAPT MORGAN PRIVATE STOCK, 750 [204624]","750","12",303.25
"0088076161863�","CIROC VODKA 12/CS, 750 [243101]","750","12",345.55
"0088076162648�","CIROC VODKA, 1.75 [243102]","1.75","6",302.35
